project_name,rera_id,promoter_name,district,project_type,developer_name,locality,city,land_area,number_of_towers,number_of_floors,total_units,unit_types,unit_sizes,project_status,possession_date,price_range,is_high_rise,source_url_99acres,faq_url_99acres,extraction_source
BLESSINGS,UPRERAPRJ8301,"Promoter

GEOTECH PROMOTERS PVT LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"BLOSSOM COUNTY ( PHASE-4 TOWER -L,M,A & C)",UPRERAPRJ4466,"Promoter

LOGIX INFRASTRUCTURE PVT.LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"BLOSSOM COUNTY(PHASE-3TOWER-J1, K ,N & CLUB )",UPRERAPRJ4411,"Promoter

LOGIX INFRASTRUCTURE PVT.LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"BLOSSOM GREENS ( PHASE- 4 TOWERS - E , F & G)",UPRERAPRJ4243,"Promoter

LOGIX INFRATECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"BLOSSOM GREENS ( PHASE- 5 TOWERS - B , C & D )",UPRERAPRJ4264,"Promoter

LOGIX INFRATECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"BLOSSOM GREENS (PHASE-2 TOWER- H, I &J)",UPRERAPRJ4186,"Promoter

LOGIX INFRATECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"BLOSSOM GREENS (PHASE-3 TOWER A , K & CLUB HOUSE)",UPRERAPRJ4218,"Promoter

LOGIX INFRATECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,2 BHK,,,,,,https://www.99acres.com/logix-blossom-greens-sector-143-noida-npxid-r921,https://www.99acres.com/logix-faqs-blossom-greens-sector-143-noida-npxid-r921,DDG Snippet
"BLOSSOM GREENS(PHASE-6 TOWER -U,V,W & SHOP)",UPRERAPRJ4766,"Promoter

LOGIX INFRATECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,25 acres,,,,2 BHK,,,,,,https://www.99acres.com/logix-blossom-greens-sector-143-noida-npxid-r921,https://www.99acres.com/logix-faqs-blossom-greens-sector-143-noida-npxid-r921,DDG Snippet
"BLOSSOM ZEST (PHASE -1 TOWER- A ,B,C,& SAT-1 &2 )",UPRERAPRJ5597,"Promoter

LOGIX CITY DEVELOPERS PVT.LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"BLOSSOM ZEST (PHASE 2 TOWER- D,E,F & CLUB)",UPRERAPRJ4834,"Promoter

LOGIX CITY DEVELOPERS PVT.LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"BLOSSOM ZEST(PHASE -3 TOWER- SAT- 3,4,&7)",UPRERAPRJ4870,"Promoter

LOGIX CITY DEVELOPERS PVT.LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"BLOSSOM ZEST(PHASE- 4,TOWER- SAT-8,9 &10)",UPRERAPRJ4903,"Promoter

LOGIX CITY DEVELOPERS PVT.LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
BUILTUPS ZONE I,UPRERAPRJ5771,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
BUILTUPS ZONE II,UPRERAPRJ5838,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
BULLAND CALISTO,UPRERAPRJ5548,"Promoter

BULLAND REALTORS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
BULLAND CALISTO PHASE-II,UPRERAPRJ16402,"Promoter

BULLAND REALTORS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
BULLAND CALISTO PHASE-III,UPRERAPRJ16437,"Promoter

BULLAND REALTORS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
